Rank,Company,Industry,Revenue,Profit,Profit %,Year,Employees
100,General Dynamics,"Aerospace, Defense",30852,2533,0.082101647,2015,99500
124,Northrop Grumman,"Aerospace, Defense",23979,2069,0.086283832,2015,64300
129,Rtx,"Aerospace, Defense",22826,2244,0.098308946,2015,61000
219,Textron,"Aerospace, Defense",13878,600,0.043233895,2015,34000
252,L3 Technologies,"Aerospace, Defense",12124,664,0.054767403,2015,45000
302,Precision Castparts,"Aerospace, Defense",9640,1777,0.1843361,2015,29085
390,Huntington Ingalls Industries,"Aerospace, Defense",6957,338,0.04858416,2015,38441
396,Spirit Aerosystems Holdings,"Aerospace, Defense",6799,359,0.052801883,2015,15250
30,Boeing,"Aerospace, Defense",86623,4585,0.052930515,2014,
45,United Technologies,"Aerospace, Defense",62935,5721,0.090903313,2014,
59,Lockheed Martin,"Aerospace, Defense",45358,2981,0.065721593,2014,
99,General Dynamics,"Aerospace, Defense",31218,2357,0.075501313,2014,
122,Northrop Grumman,"Aerospace, Defense",24661,1952,0.079153319,2014,
126,Rtx,"Aerospace, Defense",23706,1996,0.084198093,2014,
221,L3 Technologies,"Aerospace, Defense",12629,778,0.061604244,2014,
228,Textron,"Aerospace, Defense",12104,498,0.041143424,2014,
322,Precision Castparts,"Aerospace, Defense",8463,1427,0.16861633,2014,
382,Huntington Ingalls Industries,"Aerospace, Defense",6820,261,0.038269795,2014,
30,Boeing,"Aerospace, Defense",81698,3900,0.047736787,2013,
50,United Technologies,"Aerospace, Defense",59783,5130,0.085810347,2013,
59,Lockheed Martin,"Aerospace, Defense",47182,2745,0.058178967,2013,
98,General Dynamics,"Aerospace, Defense",31513,-332,-0.010535335,2013,
120,Northrop Grumman,"Aerospace, Defense",25218,1978,0.078436038,2013,
124,Rtx,"Aerospace, Defense",24414,1888,0.077332678,2013,
197,L3 Technologies,"Aerospace, Defense",14057,810,0.057622537,2013,
225,Textron,"Aerospace, Defense",12237,589,0.048132712,2013,
355,Precision Castparts,"Aerospace, Defense",7278.3,1224.1,0.168184878,2013,
380,Huntington Ingalls Industries,"Aerospace, Defense",6708,146,0.021765057,2013,
453,Exelis,"Aerospace, Defense",5522,330,0.059760956,2013,
39,Boeing,"Aerospace, Defense",68735,4018,0.05845639,2012,
48,United Technologies,"Aerospace, Defense",58190,4979,0.08556453,2012,
58,Lockheed Martin,"Aerospace, Defense",46692,2655,0.056861989,2012,
92,General Dynamics,"Aerospace, Defense",32677,2526,0.077302078,2012,
104,Northrop Grumman,"Aerospace, Defense",28058,2118,0.075486492,2012,
117,Rtx,"Aerospace, Defense",24857,1866,0.075069397,2012,
174,L3 Technologies,"Aerospace, Defense",15169,956,0.063023271,2012,
236,Textron,"Aerospace, Defense",11275,242,0.021463415,2012,
319,Goodrich,"Aerospace, Defense",8074.9,810.4,0.100360376,2012,
387,Precision Castparts,"Aerospace, Defense",6267.2,1013.5,0.16171496,2012,
422,Exelis,"Aerospace, Defense",5839,326,0.055831478,2012,
491,Alliant Techsystems,"Aerospace, Defense",4842.3,313.2,0.064680007,2012,
496,Rockwell Collins,"Aerospace, Defense",4825,634,0.131398964,2012,
36,Boeing,"Aerospace, Defense",64306,3307,0.051425994,2011,
44,United Technologies,"Aerospace, Defense",54326,4373,0.080495527,2011,
52,Lockheed Martin,"Aerospace, Defense",46890,2926,0.062401365,2011,
72,Northrop Grumman,"Aerospace, Defense",34757,2053,0.059067238,2011,
86,General Dynamics,"Aerospace, Defense",32466,2624,0.080823015,2011,
104,Rtx,"Aerospace, Defense",25183,1840,0.073065163,2011,
159,L3 Technologies,"Aerospace, Defense",15680,955,0.060905612,2011,
233,Textron,"Aerospace, Defense",10525,86,0.008171021,2011,
337,Goodrich,"Aerospace, Defense",6966.9,578.7,0.083064204,2011,
409,Precision Castparts,"Aerospace, Defense",5539.6,921.8,0.166401906,2011,
472,Alliant Techsystems,"Aerospace, Defense",4807.7,278.7,0.057969507,2011,
478,Rockwell Collins,"Aerospace, Defense",4665,561,0.120257235,2011,
28,Boeing,"Aerospace, Defense",68281,1312,0.019214716,2010,
37,United Technologies,"Aerospace, Defense",52920,3829,0.072354497,2010,
44,Lockheed Martin,"Aerospace, Defense",45189,3024,0.06691894,2010,
61,Northrop Grumman,"Aerospace, Defense",35291,1686,0.04777422,2010,
69,General Dynamics,"Aerospace, Defense",31981,2394,0.074856946,2010,
95,Rtx,"Aerospace, Defense",24881,1935,0.077770186,2010,
148,L3 Technologies,"Aerospace, Defense",15615,901,0.057700929,2010,
220,Textron,"Aerospace, Defense",10548,-31,-0.002938946,2010,
325,Precision Castparts,"Aerospace, Defense",6913.8,1044.5,0.151074662,2010,
334,Goodrich,"Aerospace, Defense",6685.6,597.3,0.089341271,2010,
454,Alliant Techsystems,"Aerospace, Defense",4583.2,155.1,0.033840984,2010,
462,Rockwell Collins,"Aerospace, Defense",4470,594,0.132885906,2010,
34,Boeing,"Aerospace, Defense",60909,2672,0.043868722,2009,
37,United Technologies,"Aerospace, Defense",58681,4689,0.079906614,2009,
54,Lockheed Martin,"Aerospace, Defense",42731,3217,0.075284922,2009,
69,Northrop Grumman,"Aerospace, Defense",33940,-1262,-0.037183265,2009,
83,General Dynamics,"Aerospace, Defense",29302,2459,0.083919186,2009,
108,Rtx,"Aerospace, Defense",23174,1672,0.072149823,2009,
171,L3 Technologies,"Aerospace, Defense",14901,949,0.063687001,2009,
173,Textron,"Aerospace, Defense",14806,486,0.032824531,2009,
354,Goodrich,"Aerospace, Defense",7061.7,681.2,0.096464024,2009,
362,Precision Castparts,"Aerospace, Defense",6916.4,987.3,0.142747672,2009,
488,Rockwell Collins,"Aerospace, Defense",4769,678,0.142168169,2009,
27,Boeing,"Aerospace, Defense",66387,4074,0.061367436,2008,
39,United Technologies,"Aerospace, Defense",54759,4224,0.077138005,2008,
57,Lockheed Martin,"Aerospace, Defense",41862,3033,0.072452343,2008,
76,Northrop Grumman,"Aerospace, Defense",32032,1790,0.055881618,2008,
87,General Dynamics,"Aerospace, Defense",27294,2072,0.07591412,2008,
112,Rtx,"Aerospace, Defense",22426,2578,0.114955855,2008,
182,L3 Technologies,"Aerospace, Defense",13960.5,756.1,0.054159951,2008,
202,Textron,"Aerospace, Defense",13225,917,0.069338374,2008,
375,Goodrich,"Aerospace, Defense",6535.8,482.6,0.073839469,2008,
444,Precision Castparts,"Aerospace, Defense",5414.1,633.1,0.116935409,2008,
28,Boeing,"Aerospace, Defense",61530,2215,0.0359987,2007,
42,United Technologies,"Aerospace, Defense",47829,3732,0.078027975,2007,
57,Lockheed Martin,"Aerospace, Defense",39620,2529,0.063831398,2007,
73,Northrop Grumman,"Aerospace, Defense",30304,1542,0.050884372,2007,
92,General Dynamics,"Aerospace, Defense",24212,1856,0.076656204,2007,
96,Rtx,"Aerospace, Defense",23274,1283,0.055125892,2007,
194,Textron,"Aerospace, Defense",12591,601,0.047732507,2007,
197,L3 Technologies,"Aerospace, Defense",12476.9,526.1,0.042165923,2007,
390,Goodrich,"Aerospace, Defense",5878.3,482.1,0.082013507,2007,
26,Boeing,"Aerospace, Defense",54848,2572,0.046893232,2006,
43,United Technologies,"Aerospace, Defense",42725,3069,0.07183148,2006,
52,Lockheed Martin,"Aerospace, Defense",37213,1825,0.049042001,2006,
67,Northrop Grumman,"Aerospace, Defense",30721,1400,0.045571433,2006,
97,Rtx,"Aerospace, Defense",21894,871,0.039782589,2006,
100,General Dynamics,"Aerospace, Defense",21290,1461,0.068623767,2006,
190,Textron,"Aerospace, Defense",11979,203,0.016946323,2006,
253,L3 Technologies,"Aerospace, Defense",9444.7,508.5,0.05383972,2006,
402,Goodrich,"Aerospace, Defense",5404.5,263.6,0.04877417,2006,
25,Boeing,"Aerospace, Defense",52553,1872,0.035621182,2005,
39,United Technologies,"Aerospace, Defense",37445,2788,0.074455869,2005,
47,Lockheed Martin,"Aerospace, Defense",35526,1266,0.035635872,2005,
58,Northrop Grumman,"Aerospace, Defense",29868,1084,0.036293023,2005,
103,Rtx,"Aerospace, Defense",20245,417,0.020597678,2005,
115,General Dynamics,"Aerospace, Defense",19552,1227,0.062755728,2005,
216,Textron,"Aerospace, Defense",10312,365,0.035395656,2005,
305,L3 Technologies,"Aerospace, Defense",6897,381.9,0.055371901,2005,
408,Goodrich,"Aerospace, Defense",4724.5,172.2,0.036448301,2005,
21,Boeing,"Aerospace, Defense",50485,698,0.013825889,2004,
48,Lockheed Martin,"Aerospace, Defense",31844,1053,0.033067454,2004,
51,United Technologies,"Aerospace, Defense",31034,2361,0.07607785,2004,
55,Northrop Grumman,"Aerospace, Defense",28686,866,0.030188942,2004,
107,Rtx,"Aerospace, Defense",18109,365,0.020155724,2004,
121,General Dynamics,"Aerospace, Defense",16617,1004,0.060420052,2004,
194,Textron,"Aerospace, Defense",10028,259,0.025827682,2004,
348,L3 Technologies,"Aerospace, Defense",5061.6,277.6,0.054844318,2004,
394,Goodrich,"Aerospace, Defense",4407.2,100.4,0.022780904,2004,
15,Boeing,"Aerospace, Defense",54069,492,0.009099484,2003,
49,United Technologies,"Aerospace, Defense",28212,2236,0.079257054,2003,
56,Lockheed Martin,"Aerospace, Defense",26806,500,0.01865254,2003,
99,Northrop Grumman,"Aerospace, Defense",17837,64,0.003588047,2003,
105,Rtx,"Aerospace, Defense",16962,-587,-0.034606768,2003,
137,General Dynamics,"Aerospace, Defense",13863,917,0.066147299,2003,
174,Textron,"Aerospace, Defense",10658,-124,-0.011634453,2003,
385,Goodrich,"Aerospace, Defense",4199.7,117.9,0.028073434,2003,
398,L3 Technologies,"Aerospace, Defense",4011.2,178.1,0.044400678,2003,
16,Boeing,"Aerospace, Defense",58198,2827,0.048575552,2002,
59,United Technologies,"Aerospace, Defense",27897,1938,0.069469835,2002,
